Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,LC_01_H2O,LC_02_H2O,Bog_01_H2O,Bog_02_H2O,Bog_03_H2O,Bog_04_H2O,Bog_05_H2O,Bog_06_H2O,Bog_07_H2O,Bog_08_H2O,Bog_09_H2O,Bog_10_H2O,Bog_11_H2O,Bog_12_H2O,Bog_13_H2O,Bog_14_H2O,Bog_15_H2O,Bog_16_H2O,Bog_18_H2O,Bog_19_H2O,Bog_21_H2O,FB_01_H2O,FB_02_H2O,FB_03_H2O,FB_04_H2O
98.656659,0,0,0,0,0,0,0,0,,None,99.66393546688,0,0,0,0,0,1338687.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.656732,0,0,0,0,0,0,0,0,,None,99.66400846688,0,0,0,0,0,0,0,0,0,0,0,0,0,1170579.1,0,0,0,0,0,0,0,0,0,0,0,0,0
98.8333654736842,0,0,0,0,0,0,0,0,,None,99.8406419405642,0,0,2674241.5,2006963.8,2257710.5,3501292,3401934.5,2350013,2521582.3,1336474.4,0,0,3676812,0,2818883.8,3364446.3,0,0,2055845.4,3172021.5,2861942,1885501.8,0,2612217,2677708.8,5354096.5,4142966.3
98.8334364,0,0,0,0,0,0,0,0,,None,99.84071286688,0,0,0,0,0,0,0,0,0,0,2919102.3,2585528.5,0,0,0,0,2423992.8,4013062.3,0,0,0,0,2378151.3,0,0,0,0
100.273065,0,0,0,0,0,0,0,0,,None,101.28034146688,0,0,0,0,0,1499956.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.41838825,0,0,0,0,0,0,0,0,,None,101.42566471688,0,0,1184157.5,1324378.3,0,0,0,0,0,1599936.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339362.9
100.949345,0,0,0,0,0,0,0,0,,None,101.95662146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253429.5,0,0,0,0,0,0
101.060689,0,0,0,0,0,0,0,0,,None,102.06796546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843356.3,2069962.1,0,0,0,0,0,0
102.244189,0,0,0,0,0,0,0,0,,None,103.25146546688,0,0,2091678.6,0,0,0,0,0,0,1498901.3,0,0,0,0,0,0,0,0,0,0,0,0,1570078.1,1037539.4,0,0,0
102.794097,0,0,0,0,0,0,0,0,,None,103.80137346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106059.4,0,0,0,0,0,0,0,0,0,0,0
