Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,HE_01_CHCl3,HE_02_CHCl3,HE_03_CHCl3,HE_04_CHCl3,HE_05_CHCl3,HE_06_CHCl3,HE_07_CHCl3,HE_08_CHCl3,HE_09_CHCl3,HE_10_CHCl3,HE_11_CHCl3,HE_12_CHCl3,HE_13_CHCl3,HE_14_CHCl3,HE_15_CHCl3
100.298566,0,0,0,0,0,0,0,0,,None,101.30584246688,0,0,0,0,0,0,0,1044752.4,0,0,0,0,0,0,0,0,0
102.243912,0,0,0,0,0,0,0,0,,None,103.25118846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358076.9,0
102.243968,0,0,0,0,0,0,0,0,,None,103.25124446688,0,0,0,0,0,0,1177229.4,0,0,0,0,0,0,0,0,0,0
103.567,0,0,0,0,0,0,0,0,,None,104.57427646688,0,0,1032222.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.089122,0,0,0,0,0,0,0,0,,None,105.09639846688,0,0,0,0,0,0,0,0,0,0,0,0,0,1582068.9,0,0,0
104.137214,0,0,0,0,0,0,0,0,,None,105.14449046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909857.8
104.13732675,0,0,0,0,0,0,0,0,,None,105.14460321688,0,0,0,0,0,0,1135432.5,0,1642980.6,0,0,0,0,0,1812603.3,1459516.6,0
104.1374265,0,0,0,0,0,0,0,0,,None,105.14470296688,0,0,0,0,0,1050324.6,0,0,0,0,1475131.8,0,0,0,0,0,0
104.259715,0,0,0,0,0,0,0,0,,None,105.26699146688,0,0,0,0,0,0,1067163.3,0,0,0,0,0,0,0,0,0,0
104.427715,0,0,0,0,0,0,0,0,,None,105.43499146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044644.8
104.911355,0,0,0,0,0,0,0,0,,None,105.91863146688,0,0,0,0,0,0,0,0,0,1067808.3,0,0,0,0,0,0,0
105.147381,0,0,0,0,0,0,0,0,,None,106.15465746688,0,0,0,0,0,0,0,1316831.6,0,0,0,0,0,0,0,0,0
105.219847,0,0,0,0,0,0,0,0,,None,106.22712346688,0,0,0,0,0,0,0,0,0,0,1028166.4,0,0,0,0,0,0
105.410669,0,0,0,0,0,0,0,0,,None,106.41794546688,0,0,0,0,0,0,0,0,0,0,1053704.1,0,0,0,0,0,0
105.506691,0,0,0,0,0,0,0,0,,None,106.51396746688,0,0,0,0,0,0,0,0,1040523.5,0,0,0,0,0,0,0,0
