"site_col","ID","W","formula","presence","slopepos","cover_type","plot","mid_cm","max_reps","formulareps","include"
"Y1","08","H2O","C9H14O5",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C10H18O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H14O3",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C14H22O1",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C10H8O5",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C11H12O4",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C12H16O3",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C13H20O2",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C7H15O4N1S1",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C9H6O6",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C10H10O5",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C11H14O4",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C12H18O3",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C9H8O6",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C10H12O5",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C11H16O4",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C12H20O3",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C10H14O5",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C11H18O4",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C12H22O3",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C13H26O2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C10H16O5",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C11H20O4",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C13H14O3",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C10H18O5",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C11H8O5",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C12H12O4",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C13H16O3",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C12H14O4",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C13H18O3",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C14H22O2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C10H8O6",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C11H12O5",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C12H16O4",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C13H20O3",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C9H6O7",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C10H10O6",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C11H14O5",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C12H18O4",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C9H8O7",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C10H12O6",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C11H16O5",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C15H16O2",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C12H20O4",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C14H28O2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C9H10O7",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C10H14O6",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C11H18O5",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C12H22O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C11H22O3N2",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C13H26O3",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C10H16O6",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C12H10O5",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C14H18O3",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C15H22O2",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C11H8O6",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C12H12O5",1,"footslope","Open","B",34,3,5,TRUE
