"Mass","formula","HC","OC","NOSC"
200.0564245,"C8H11O5N1",1.38,0.62,0.25
200.09284325,"C9H15O4N1",1.67,0.44,-0.4444
200.1291865,"C10H19O3N1",1.9,0.3,-1
200.981414,"C4H11O3S2P1",2.75,0.75,-0.25
201.004107,"C7H6O7",0.86,1,1.1429
201.040461333333,"C8H10O6",1.25,0.75,0.25
201.076832076923,"C9H14O5",1.56,0.56,-0.4444
201.088064,"C8H14O4N2",1.75,0.5,0
201.11324102381,"C10H18O4",1.8,0.4,-1
201.124467769231,"C9H18O3N2",2,0.33,-0.6667
201.149629315789,"C11H22O3",2,0.27,-1.4545
201.945178666667,"C5H1O6N1S1",0.2,1.2,3.2
202.035696,"C7H9O6N1",1.29,0.86,0.8571
202.072105,"C8H13O5N1",1.62,0.62,0
202.108498,"C9H17O4N1",1.89,0.44,-0.6667
203.01973,"C7H8O7",1.14,1,0.8571
203.034962,"C11H8O4",0.73,0.36,0
203.0560715,"C8H12O6",1.5,0.75,0
203.067351,"C7H12O5N2",1.71,0.71,0.5714
203.092497,"C9H16O5",1.78,0.56,-0.6667
203.103745,"C8H16O4N2",2,0.5,-0.25
203.128872384615,"C10H20O4",2,0.4,-1.2
203.1441,"C14H20O1",1.43,0.07,-1.2857
204.020337,"C12H3O1N3",0.25,0.08,0.6667
204.087736,"C8H15O5N1",1.88,0.62,-0.25
204.124121,"C9H19O4N1",2.11,0.44,-0.8889
205.0142578,"C10H6O5",0.6,0.5,0.4
205.0353715,"C7H10O7",1.43,1,0.5714
205.071737,"C8H14O6",1.75,0.75,-0.25
205.082992,"C7H14O5N2",2,0.71,0.2857
205.08703475,"C12H14O3",1.17,0.25,-0.6667
205.123384,"C13H18O2",1.38,0.15,-1.0769
205.159800536585,"C14H22O1",1.57,0.07,-1.4286
206.082246,"C11H13O3N1",1.18,0.27,-0.3636
206.993525,"C9H4O6",0.44,0.67,0.8889
207.0121415,"C10H8O3S1",0.8,0.3,0
207.029916571429,"C10H8O5",0.8,0.5,0.2
207.051038222222,"C7H12O7",1.71,1,0.2857
207.066287684211,"C11H12O4",1.09,0.36,-0.3636
207.08741,"C8H16O6",2,0.75,-0.5
207.102677,"C12H16O3",1.33,0.25,-0.8333
207.139036,"C13H20O2",1.54,0.15,-1.2308
208.064908388889,"C7H15O4N1S1",2.14,0.57,-0.2857
209.00913825,"C9H6O6",0.67,0.67,0.6667
209.045556538462,"C10H10O5",1,0.5,0
209.0666733,"C7H14O7",2,1,0
209.081940413793,"C11H14O4",1.27,0.36,-0.5455
209.118302363636,"C12H18O3",1.5,0.25,-1
210.935161,"C8H4O1S3",0.5,0.12,0.5
211.024833166667,"C9H8O6",0.89,0.67,0.4444
211.061207583333,"C10H12O5",1.2,0.5,-0.2
211.082328,"C7H16O7",2.29,1,-0.2857
211.097599791667,"C11H16O4",1.45,0.36,-0.7273
211.133991214286,"C12H20O3",1.67,0.25,-1.1667
211.1703495,"C13H24O2",1.85,0.15,-1.5385
212.1292375,"C11H19O3N1",1.73,0.27,-0.9091
213.004039,"C8H6O7",0.75,0.88,1
213.0404731,"C9H10O6",1.11,0.67,0.2222
213.0556625,"C13H10O3",0.77,0.23,-0.3077
213.076862125,"C10H14O5",1.4,0.5,-0.4
213.113252416667,"C11H18O4",1.64,0.36,-0.9091
213.124422,"C10H18O3N2",1.8,0.3,-0.6
213.149622457143,"C12H22O3",1.83,0.25,-1.3333
213.186011928571,"C13H26O2",2,0.15,-1.6923
214.072105,"C9H13O5N1",1.44,0.56,0
214.1085118,"C10H17O4N1",1.7,0.4,-0.6
214.144862,"C11H21O3N1",1.91,0.27,-1.0909
215.019724,"C8H8O7",1,0.88,0.75
215.056123142857,"C9H12O6",1.33,0.67,0
215.092529057143,"C10H16O5",1.6,0.5,-0.6
215.103735,"C9H16O4N2",1.78,0.44,-0.2222
215.128902897436,"C11H20O4",1.82,0.36,-1.0909
215.140055,"C10H20O3N2",2,0.3,-0.8
215.140167,"C10H20O3N2",2,0.3,-0.8
215.1652853,"C12H24O3",2,0.25,-1.5
216.087735,"C9H15O5N1",1.67,0.56,-0.2222
216.124163666667,"C10H19O4N1",1.9,0.4,-0.8
216.90937075,"C6H2O3S3",0.33,0.5,1.6667
217.009343,"C8H11O3S1P1",1.38,0.38,-0.375
217.0142765,"C11H6O5",0.55,0.45,0.3636
217.03539175,"C8H10O7",1.25,0.88,0.5
217.050661166667,"C12H10O4",0.83,0.33,-0.1667
217.071789166667,"C9H14O6",1.56,0.67,-0.2222
217.08301,"C8H14O5N2",1.75,0.62,0.25
217.0870686,"C13H14O3",1.08,0.23,-0.6154
217.108176060606,"C10H18O5",1.8,0.5,-0.8
217.1193948,"C9H18O4N2",2,0.44,-0.4444
217.14452775,"C11H22O4",2,0.36,-1.2727
218.030612,"C7H9O7N1",1.29,1,1.1429
218.067047,"C8H13O6N1",1.62,0.75,0.25
218.103408,"C9H17O5N1",1.89,0.56,-0.4444
218.960548,"C6H4O7S1",0.67,1.17,2
218.9969,"C7H8O6S1",1.14,0.86,0.8571
219.029944866667,"C11H8O5",0.73,0.45,0.1818
219.05101725,"C8H12O7",1.5,0.88,0.25
219.062281,"C7H12O6N2",1.71,0.86,0.8571
219.066298111111,"C12H12O4",1,0.33,-0.3333
219.087399,"C9H16O6",1.78,0.67,-0.4444
219.098642,"C8H16O5N2",2,0.62,0
219.1026918,"C13H16O3",1.23,0.23,-0.7692
219.139082,"C14H20O2",1.43,0.14,-1.1429
219.17546724,"C15H24O1",1.6,0.07,-1.4667
220.082677,"C8H15O6N1",1.88,0.75,0
220.097868,"C12H15O3N1",1.25,0.25,-0.5
221.009198705882,"C10H6O6",0.6,0.6,0.6
221.0302995,"C7H10O8",1.43,1.14,0.8571
221.045567090909,"C11H10O5",0.91,0.45,0
221.06670225,"C8H14O7",1.75,0.88,0
221.08194584,"C12H14O4",1.17,0.33,-0.5
221.118348833333,"C13H18O3",1.38,0.23,-0.9231
221.154736595238,"C14H22O2",1.57,0.14,-1.2857
222.077186,"C11H13O4N1",1.18,0.36,-0.1818
223.024851933333,"C10H8O6",0.8,0.6,0.4
223.040034,"C14H8O3",0.57,0.21,-0.1429
223.045973222222,"C7H12O8",1.71,1.14,0.5714
223.061208555556,"C11H12O5",1.09,0.45,-0.1818
223.097612190476,"C12H16O4",1.33,0.33,-0.6667
223.133993807692,"C13H20O3",1.54,0.23,-1.0769
224.978903071429,"C7H2O7N2",0.29,1,2.5714
225.0040697,"C9H6O7",0.67,0.78,0.8889
225.007474,"C6H10O7S1",1.67,1.17,1
225.040509571429,"C10H10O6",1,0.6,0.2
225.061581,"C7H14O8",2,1.14,0.2857
225.076873068966,"C11H14O5",1.27,0.45,-0.3636
225.113259454545,"C12H18O4",1.5,0.33,-0.8333
225.149597,"C13H22O3",1.69,0.23,-1.2308
225.186044777778,"C14H26O2",1.86,0.14,-1.5714
226.072107,"C10H13O5N1",1.3,0.5,0
226.10847,"C11H17O4N1",1.55,0.36,-0.5455
227.019748466667,"C9H8O7",0.89,0.78,0.6667
227.056153,"C10H12O6",1.2,0.6,0
