"Mass","formula","El_comp","HC","OC","AImod","NOSC","C","H","O","N","S","P","Class"
200.0564245,"C8H11O5N1","CHON",1.38,0.62,0.1111,0.25,8,11,5,1,0,0,"unsaturated/lignin"
200.09284325,"C9H15O4N1","CHON",1.67,0.44,0,-0.4444,9,15,4,1,0,0,"aliphatic"
200.1291865,"C10H19O3N1","CHON",1.9,0.3,-0.0667,-1,10,19,3,1,0,0,"aliphatic"
200.981414,"C4H11O3S2P1","CHOSP",2.75,0.75,9,-0.25,4,11,3,0,2,1,"condensed aromatic"
201.004107,"C7H6O7","CHO",0.86,1,0.4286,1.1429,7,6,7,0,0,0,"unsaturated/lignin"
201.040461333333,"C8H10O6","CHO",1.25,0.75,0.2,0.25,8,10,6,0,0,0,"unsaturated/lignin"
201.076832076923,"C9H14O5","CHO",1.56,0.56,0.0769,-0.4444,9,14,5,0,0,0,"aliphatic"
201.088064,"C8H14O4N2","CHON",1.75,0.5,-0.25,0,8,14,4,2,0,0,"aliphatic"
201.11324102381,"C10H18O4","CHO",1.8,0.4,0,-1,10,18,4,0,0,0,"aliphatic"
201.124467769231,"C9H18O3N2","CHON",2,0.33,-0.2727,-0.6667,9,18,3,2,0,0,"aliphatic"
201.149629315789,"C11H22O3","CHO",2,0.27,-0.0526,-1.4545,11,22,3,0,0,0,"aliphatic"
201.945178666667,"C5H1O6N1S1","CHONS",0.2,1.2,Inf,3.2,5,1,6,1,1,0,"condensed aromatic"
202.035696,"C7H9O6N1","CHON",1.29,0.86,0,0.8571,7,9,6,1,0,0,"unsaturated/lignin"
202.072105,"C8H13O5N1","CHON",1.62,0.62,-0.1111,0,8,13,5,1,0,0,"aliphatic"
202.108498,"C9H17O4N1","CHON",1.89,0.44,-0.1667,-0.6667,9,17,4,1,0,0,"aliphatic"
203.01973,"C7H8O7","CHO",1.14,1,0.1429,0.8571,7,8,7,0,0,0,"unsaturated/lignin"
203.034962,"C11H8O4","CHO",0.73,0.36,0.6667,0,11,8,4,0,0,0,"condensed aromatic"
203.0560715,"C8H12O6","CHO",1.5,0.75,0,0,8,12,6,0,0,0,"aliphatic"
203.067351,"C7H12O5N2","CHON",1.71,0.71,-0.6,0.5714,7,12,5,2,0,0,"aliphatic"
203.092497,"C9H16O5","CHO",1.78,0.56,-0.0769,-0.6667,9,16,5,0,0,0,"aliphatic"
203.103745,"C8H16O4N2","CHON",2,0.5,-0.5,-0.25,8,16,4,2,0,0,"aliphatic"
203.128872384615,"C10H20O4","CHO",2,0.4,-0.125,-1.2,10,20,4,0,0,0,"aliphatic"
203.1441,"C14H20O1","CHO",1.43,0.07,0.3333,-1.2857,14,20,1,0,0,0,"unsaturated/lignin"
204.020337,"C12H3O1N3","CHON",0.25,0.08,1.1176,0.6667,12,3,1,3,0,0,"condensed aromatic"
204.087736,"C8H15O5N1","CHON",1.88,0.62,-0.3333,-0.25,8,15,5,1,0,0,"aliphatic"
204.124121,"C9H19O4N1","CHON",2.11,0.44,-0.3333,-0.8889,9,19,4,1,0,0,"aliphatic"
205.0142578,"C10H6O5","CHO",0.6,0.5,0.7333,0.4,10,6,5,0,0,0,"condensed aromatic"
205.0353715,"C7H10O7","CHO",1.43,1,-0.1429,0.5714,7,10,7,0,0,0,"unsaturated/lignin"
205.071737,"C8H14O6","CHO",1.75,0.75,-0.2,-0.25,8,14,6,0,0,0,"aliphatic"
205.082992,"C7H14O5N2","CHON",2,0.71,-1,0.2857,7,14,5,2,0,0,"aliphatic"
205.08703475,"C12H14O3","CHO",1.17,0.25,0.4286,-0.6667,12,14,3,0,0,0,"unsaturated/lignin"
205.123384,"C13H18O2","CHO",1.38,0.15,0.3333,-1.0769,13,18,2,0,0,0,"unsaturated/lignin"
205.159800536585,"C14H22O1","CHO",1.57,0.07,0.2593,-1.4286,14,22,1,0,0,0,"aliphatic"
206.082246,"C11H13O3N1","CHON",1.18,0.27,0.4118,-0.3636,11,13,3,1,0,0,"unsaturated/lignin"
206.993525,"C9H4O6","CHO",0.44,0.67,0.8333,0.8889,9,4,6,0,0,0,"condensed aromatic"
207.0121415,"C10H8O3S1","CHOS",0.8,0.3,0.6,0,10,8,3,0,1,0,"aromatic"
