"slopepos","Class","Canopy","Open"
"Backslope","aliphatic","38.79 ± 2.56","38.47 ± 5.11"
"Backslope","aromatic","3.44 ± 1.48","2.91 ± 1.06"
"Backslope","condensed aromatic","4.92 ± 1.28","6.18 ± 3.05"
"Backslope","unsaturated/lignin","52.85 ± 2.32","52.44 ± 2.22"
"Low Backslope","aliphatic","30.32 ± 2.38","34.48 ± 5.18"
"Low Backslope","aromatic","6.37 ± 1.06","3.31 ± 0.8"
"Low Backslope","condensed aromatic","4.35 ± 0.28","3.38 ± 0.09 *"
"Low Backslope","unsaturated/lignin","58.96 ± 3.02","58.82 ± 4.63"
"Footslope","aliphatic","27.98 ± 0.78","27.26 ± 2.23"
"Footslope","aromatic","6.26 ± 0.89","3.63 ± 1.86"
"Footslope","condensed aromatic","2.83 ± 0.3","2.7 ± 0.23"
"Footslope","unsaturated/lignin","62.93 ± 0.61","66.41 ± 0.29 *"
