"slopepos.x","covertype","rep","morph.x","mineral","mean"
"backslope","canopy","A","Bg1","albite",16.7
"backslope","canopy","A","Bg1","ankerite",1.46
"backslope","canopy","A","Bg1","anorthite",14.2
"backslope","canopy","A","Bg1","chlorite",6.66
"backslope","canopy","A","Bg1","hornblende",4.07
"backslope","canopy","A","Bg1","mica",10.6
"backslope","canopy","A","Bg1","microcline",3.72
"backslope","canopy","A","Bg1","quartz",42.6
"backslope","canopy","B","Bg1","albite",14
"backslope","canopy","B","Bg1","ankerite",0.254
"backslope","canopy","B","Bg1","anorthite",14.7
"backslope","canopy","B","Bg1","chlorite",6.63
"backslope","canopy","B","Bg1","hornblende",4.34
"backslope","canopy","B","Bg1","mica",8.28
"backslope","canopy","B","Bg1","microcline",4.84
"backslope","canopy","B","Bg1","quartz",46.9
"backslope","canopy","C","Bg1","albite",14.7
"backslope","canopy","C","Bg1","ankerite",0.805
"backslope","canopy","C","Bg1","anorthite",15.6
"backslope","canopy","C","Bg1","chlorite",4.33
"backslope","canopy","C","Bg1","hornblende",3.87
"backslope","canopy","C","Bg1","mica",10.3
"backslope","canopy","C","Bg1","microcline",1.89
"backslope","canopy","C","Bg1","quartz",48.5
"backslope","open","A","Bg1","albite",13.6
"backslope","open","A","Bg1","ankerite",0.661
"backslope","open","A","Bg1","anorthite",15.4
"backslope","open","A","Bg1","chlorite",6.84
"backslope","open","A","Bg1","hornblende",3.27
"backslope","open","A","Bg1","mica",9.45
"backslope","open","A","Bg1","microcline",7.59
"backslope","open","A","Bg1","quartz",43.2
"backslope","open","B","Bg2","albite",14
"backslope","open","B","Bg2","ankerite",0.841
"backslope","open","B","Bg2","anorthite",20.4
"backslope","open","B","Bg2","chlorite",4.35
"backslope","open","B","Bg2","hornblende",3.54
"backslope","open","B","Bg2","mica",8.37
"backslope","open","B","Bg2","microcline",0.759
"backslope","open","B","Bg2","quartz",47.7
"backslope","open","B","Bg3","albite",16
"backslope","open","B","Bg3","ankerite",0.468
"backslope","open","B","Bg3","anorthite",14.4
"backslope","open","B","Bg3","chlorite",5.35
