"covertype","mineral","slopepos","label"
"closed","albite","low_backslope","a"
"closed","albite","backslope","ab"
"closed","albite","footslope","b"
"closed","ankerite","low_backslope","a"
"closed","ankerite","backslope","ab"
"closed","ankerite","footslope","b"
"closed","anorthite","low_backslope","a"
"closed","anorthite","backslope","a"
"closed","anorthite","footslope","a"
"closed","chlorite","footslope","a"
"closed","chlorite","backslope","ab"
"closed","chlorite","low_backslope","b"
"closed","hornblende","low_backslope","a"
"closed","hornblende","backslope","a"
"closed","hornblende","footslope","a"
"closed","mica","footslope","a"
"closed","mica","low_backslope","b"
"closed","mica","backslope","b"
"closed","microcline","footslope","a"
"closed","microcline","backslope","a"
"closed","microcline","low_backslope","a"
"closed","quartz","backslope","a"
"closed","quartz","low_backslope","a"
"closed","quartz","footslope","b"
"open","albite","backslope","a"
"open","albite","low_backslope","ab"
"open","albite","footslope","b"
"open","ankerite","backslope","a"
"open","ankerite","low_backslope","a"
"open","ankerite","footslope","a"
"open","anorthite","backslope","a"
"open","anorthite","low_backslope","a"
"open","anorthite","footslope","a"
"open","chlorite","footslope","a"
"open","chlorite","low_backslope","a"
"open","chlorite","backslope","a"
"open","hornblende","low_backslope","a"
"open","hornblende","backslope","a"
"open","hornblende","footslope","a"
"open","mica","footslope","a"
"open","mica","low_backslope","a"
"open","mica","backslope","a"
"open","microcline","low_backslope","a"
"open","microcline","footslope","a"
"open","microcline","backslope","a"
"open","quartz","backslope","a"
"open","quartz","low_backslope","a"
"open","quartz","footslope","a"
