"slopepos","mineral","covertype","label"
"backslope","albite","open","a"
"backslope","albite","canopy","a"
"backslope","ankerite","canopy","a"
"backslope","ankerite","open","a"
"backslope","anorthite","open","a"
"backslope","anorthite","canopy","a"
"backslope","chlorite","canopy","a"
"backslope","chlorite","open","a"
"backslope","feldspar","open","a"
"backslope","feldspar","canopy","b"
"backslope","hornblende","open","a"
"backslope","hornblende","canopy","a"
"backslope","mica","canopy","a"
"backslope","mica","open","a"
"backslope","microcline","open","a"
"backslope","microcline","canopy","a"
"backslope","quartz","canopy","a"
"backslope","quartz","open","a"
"backslope","rwp","canopy","a"
"backslope","rwp","open","a"
"footslope","albite","open","a"
"footslope","albite","canopy","a"
"footslope","ankerite","open","a"
"footslope","ankerite","canopy","a"
"footslope","anorthite","open","a"
"footslope","anorthite","canopy","a"
"footslope","chlorite","canopy","a"
"footslope","chlorite","open","a"
"footslope","feldspar","open","a"
"footslope","feldspar","canopy","a"
"footslope","hornblende","canopy","a"
"footslope","hornblende","open","a"
"footslope","mica","canopy","a"
"footslope","mica","open","a"
"footslope","microcline","canopy","a"
"footslope","microcline","open","a"
"footslope","quartz","open","a"
"footslope","quartz","canopy","a"
"footslope","rwp","open","a"
"footslope","rwp","canopy","a"
"low_backslope","albite","canopy","a"
"low_backslope","albite","open","a"
"low_backslope","ankerite","canopy","a"
"low_backslope","ankerite","open","a"
"low_backslope","anorthite","canopy","a"
"low_backslope","anorthite","open","a"
"low_backslope","chlorite","open","a"
"low_backslope","chlorite","canopy","a"
"low_backslope","feldspar","canopy","a"
"low_backslope","feldspar","open","a"
"low_backslope","hornblende","open","a"
"low_backslope","hornblende","canopy","a"
"low_backslope","mica","open","a"
"low_backslope","mica","canopy","a"
"low_backslope","microcline","open","a"
"low_backslope","microcline","canopy","a"
"low_backslope","quartz","canopy","a"
"low_backslope","quartz","open","a"
"low_backslope","rwp","canopy","a"
"low_backslope","rwp","open","a"
