Canopy,,,,,,,,,,,,,,Open,,,,,,,,,,,
,,,%,,,,,,,,,,,,,,%,,,,,,,,
slope position,morph,rwp,feldspar,quartz,albite,anorthite,microcline,chlorite,mica,hornblende,ankerite,,,slopepos,morph,rwp,feldspar,quartz,albite,anorthite,microcline,chlorite,mica,hornblende,ankerite
footslope,Bg1,7.76,35,40.4 ± 0.346,13.5 ± 0.365,14.6 ± 0.407,6.71 ± 0.283,7.17 ± 0.236,13.7 ± 0.274,3.56 ± 0.234,0.282 ± 0.0903,,,footslope,Bg1,7.71,30,45.1 ± 0.393,14 ± 0.391,14 ± 0.435,2 ± 0.216,6.02 ± 0.251,12.6 ± 0.281,5.43 ± 0.249,0.852 ± 0.0968
footslope,Bg2,7.19,34,40.2 ± 0.329,13.6 ± 0.343,13.2 ± 0.397,6.72 ± 0.272,7.91 ± 0.224,14.4 ± 0.258,3.74 ± 0.224,0.111 ± 0.0843,,,footslope,Bg2,7.33,34,39.6 ± 0.332,13.1 ± 0.354,14.9 ± 0.401,5.76 ± 0.279,7.66 ± 0.232,15.5 ± 0.266,3.29 ± 0.231,0.216 ± 0.09
footslope,Bg3,7.52,32,39.1 ± 0.35,13 ± 0.373,13.6 ± 0.427,5.75 ± 0.3,7.75 ± 0.244,16.9 ± 0.294,3.76 ± 0.247,0.0173 ± 0.0922,,,footslope,Bg1,6.11,31,36.1 ± 0.351,12.1 ± 0.402,13.6 ± 0.456,5.64 ± 0.316,9.73 ± 0.277,19.1 ± 0.335,3.82 ± 0.266,0.00597 ± 0.0978
footslope,Bg1,7.67,30,40.1 ± 0.361,13.4 ± 0.389,14.2 ± 0.45,2.47 ± 0.22,7.69 ± 0.255,17.6 ± 0.293,4.27 ± 0.258,0.217 ± 0.0968,,,footslope,OeBg,5.43,34,38.2 ± 0.343,12.7 ± 0.376,14.5 ± 0.423,6.81 ± 0.29,7.9 ± 0.255,16.2 ± 0.304,3.62 ± 0.246,0.0993 ± 0.0945
footslope,Bg2,6.98,34,38.4 ± 0.311,12.5 ± 0.34,15.2 ± 0.382,5.9 ± 0.263,8.13 ± 0.223,16.1 ± 0.264,3.75 ± 0.22,0.024 ± 0.0823,,,footslope,Bg2,6.51,35,43.7 ± 0.368,13.9 ± 0.356,15.4 ± 0.399,5.98 ± 0.271,5.8 ± 0.239,11.1 ± 0.287,3.53 ± 0.231,0.624 ± 0.107
footslope,Bg3,6.48,33,37.7 ± 0.31,12.5 ± 0.343,13.7 ± 0.388,6.67 ± 0.27,9.14 ± 0.23,15.6 ± 0.267,4.03 ± 0.226,0.537 ± 0.0856,,,footslope,Bg1,7.21,35,39.2 ± 0.319,14.9 ± 0.344,14.3 ± 0.39,6.15 ± 0.266,7.3 ± 0.22,14.5 ± 0.258,3.5 ± 0.22,0.115 ± 0.0806
footslope,Bg1,6.51,33,39.8 ± 0.342,12.8 ± 0.363,14.4 ± 0.413,6.02 ± 0.282,7.98 ± 0.238,14.2 ± 0.282,4.03 ± 0.232,0.731 ± 0.0928,,,footslope,Bg2,8.93,32,47.7 ± 0.448,15.5 ± 0.422,15.1 ± 0.474,1.08 ± 0.191,4.14 ± 0.265,11.5 ± 0.317,4.34 ± 0.266,0.637 ± 0.119
footslope,Bg2,6.25,36,40 ± 0.336,14.7 ± 0.35,15.4 ± 0.397,6.29 ± 0.278,6.79 ± 0.234,12.5 ± 0.277,3.96 ± 0.233,0.302 ± 0.0883,,,footslope,Bg3,10.1,41,40.7 ± 0.414,15.5 ± 0.445,19.1 ± 0.489,6.09 ± 0.336,5.3 ± 0.273,11.3 ± 0.317,1.81 ± 0.204,0.19 ± 0.105
footslope,Bg3,7.34,35,44.5 ± 0.359,14.3 ± 0.342,15.3 ± 0.387,5.7 ± 0.266,6.09 ± 0.226,10.2 ± 0.269,3.55 ± 0.221,0.387 ± 0.0848,,,low backslope,Bg1,8.99,37,41.7 ± 0.373,15.2 ± 0.38,14.5 ± 0.432,7.51 ± 0.3,5.82 ± 0.244,9.97 ± 0.271,4.96 ± 0.241,0.349 ± 0.0965
