"slopepos","covertype","morph","mineral","mean","se","value"
"backslope","closed","Bg1","albite",15.1,0.8,"15.1 ± 0.8"
"backslope","closed","Bg1","ankerite",0.8,0.3,"0.8 ± 0.3"
"backslope","closed","Bg1","anorthite",14.8,0.4,"14.8 ± 0.4"
"backslope","closed","Bg1","chlorite",5.9,0.8,"5.9 ± 0.8"
"backslope","closed","Bg1","hornblende",4.1,0.1,"4.1 ± 0.1"
"backslope","closed","Bg1","mica",9.7,0.7,"9.7 ± 0.7"
"backslope","closed","Bg1","microcline",3.5,0.9,"3.5 ± 0.9"
"backslope","closed","Bg1","quartz",46,1.8,"46 ± 1.8"
"backslope","open","Bg2","albite",15.3,1.3,"15.3 ± 1.3"
"backslope","open","Bg2","ankerite",0.7,0.2,"0.7 ± 0.2"
"backslope","open","Bg2","anorthite",19,1.3,"19 ± 1.3"
"backslope","open","Bg2","chlorite",4.5,0.2,"4.5 ± 0.2"
"backslope","open","Bg2","hornblende",4,0.4,"4 ± 0.4"
"backslope","open","Bg2","mica",8.4,0.1,"8.4 ± 0.1"
"backslope","open","Bg2","microcline",1.7,0.9,"1.7 ± 0.9"
"backslope","open","Bg2","quartz",46.3,1.4,"46.3 ± 1.4"
"footslope","closed","Bg1","albite",13.2,0.2,"13.2 ± 0.2"
"footslope","closed","Bg1","ankerite",0.4,0.2,"0.4 ± 0.2"
"footslope","closed","Bg1","anorthite",14.4,0.1,"14.4 ± 0.1"
"footslope","closed","Bg1","chlorite",7.6,0.2,"7.6 ± 0.2"
"footslope","closed","Bg1","hornblende",4,0.2,"4 ± 0.2"
"footslope","closed","Bg1","mica",15.2,1.2,"15.2 ± 1.2"
"footslope","closed","Bg1","microcline",5.1,1.3,"5.1 ± 1.3"
"footslope","closed","Bg1","quartz",40.1,0.2,"40.1 ± 0.2"
"footslope","closed","Bg2","albite",13.6,0.6,"13.6 ± 0.6"
"footslope","closed","Bg2","ankerite",0.1,0.1,"0.1 ± 0.1"
"footslope","closed","Bg2","anorthite",14.6,0.7,"14.6 ± 0.7"
"footslope","closed","Bg2","chlorite",7.6,0.4,"7.6 ± 0.4"
"footslope","closed","Bg2","hornblende",3.8,0.1,"3.8 ± 0.1"
"footslope","closed","Bg2","mica",14.3,1,"14.3 ± 1"
"footslope","closed","Bg2","microcline",6.3,0.2,"6.3 ± 0.2"
"footslope","closed","Bg2","quartz",39.5,0.6,"39.5 ± 0.6"
"footslope","closed","Bg3","albite",13.3,0.5,"13.3 ± 0.5"
"footslope","closed","Bg3","ankerite",0.3,0.2,"0.3 ± 0.2"
"footslope","closed","Bg3","anorthite",14.2,0.6,"14.2 ± 0.6"
"footslope","closed","Bg3","chlorite",7.7,0.9,"7.7 ± 0.9"
"footslope","closed","Bg3","hornblende",3.8,0.1,"3.8 ± 0.1"
"footslope","closed","Bg3","mica",14.2,2.1,"14.2 ± 2.1"
"footslope","closed","Bg3","microcline",6,0.3,"6 ± 0.3"
"footslope","closed","Bg3","quartz",40.4,2.1,"40.4 ± 2.1"
"footslope","open","Bg1","albite",13.7,0.8,"13.7 ± 0.8"
"footslope","open","Bg1","ankerite",0.3,0.3,"0.3 ± 0.3"
"footslope","open","Bg1","anorthite",14,0.2,"14 ± 0.2"
"footslope","open","Bg1","chlorite",7.7,1.1,"7.7 ± 1.1"
"footslope","open","Bg1","hornblende",4.2,0.6,"4.2 ± 0.6"
"footslope","open","Bg1","mica",15.4,1.9,"15.4 ± 1.9"
"footslope","open","Bg1","microcline",4.6,1.3,"4.6 ± 1.3"
"footslope","open","Bg1","quartz",40.1,2.6,"40.1 ± 2.6"
"footslope","open","Bg2","albite",14.2,0.7,"14.2 ± 0.7"
"footslope","open","Bg2","ankerite",0.5,0.1,"0.5 ± 0.1"
"footslope","open","Bg2","anorthite",15.1,0.1,"15.1 ± 0.1"
"footslope","open","Bg2","chlorite",5.9,1,"5.9 ± 1"
"footslope","open","Bg2","hornblende",3.7,0.3,"3.7 ± 0.3"
"footslope","open","Bg2","mica",12.7,1.4,"12.7 ± 1.4"
"footslope","open","Bg2","microcline",4.3,1.6,"4.3 ± 1.6"
"footslope","open","Bg2","quartz",43.7,2.3,"43.7 ± 2.3"
"low_backslope","closed","Bg1","albite",15.2,0.3,"15.2 ± 0.3"
"low_backslope","closed","Bg1","ankerite",0.8,0.2,"0.8 ± 0.2"
"low_backslope","closed","Bg1","anorthite",19.4,1.2,"19.4 ± 1.2"
"low_backslope","closed","Bg1","chlorite",4.6,0.1,"4.6 ± 0.1"
"low_backslope","closed","Bg1","hornblende",3.8,0.7,"3.8 ± 0.7"
"low_backslope","closed","Bg1","mica",9.8,1.9,"9.8 ± 1.9"
"low_backslope","closed","Bg1","microcline",2.4,1,"2.4 ± 1"
"low_backslope","closed","Bg1","quartz",44,0.7,"44 ± 0.7"
"low_backslope","closed","Bg2","albite",16.7,0.4,"16.7 ± 0.4"
"low_backslope","closed","Bg2","ankerite",1,0,"1 ± 0"
"low_backslope","closed","Bg2","anorthite",14.7,1.3,"14.7 ± 1.3"
"low_backslope","closed","Bg2","chlorite",6,1,"6 ± 1"
