covertype,mineral,mean,se,backslope,footslope,low_backslope
canopy,albite,15.1,0.8,15.1 ± 0.8,NA,NA
canopy,ankerite,0.8,0.3,0.8 ± 0.3,NA,NA
canopy,anorthite,14.8,0.4,14.8 ± 0.4,NA,NA
canopy,chlorite,5.9,0.8,5.9 ± 0.8,NA,NA
canopy,hornblende,4.1,0.1,4.1 ± 0.1,NA,NA
canopy,mica,9.7,0.7,9.7 ± 0.7,NA,NA
canopy,microcline,3.5,0.9,3.5 ± 0.9,NA,NA
canopy,quartz,46,1.8,46 ± 1.8,NA,NA
open,albite,15.3,0.6,15.3 ± 0.6,NA,NA
open,ankerite,0.6,0.1,0.6 ± 0.1,NA,NA
open,anorthite,16.7,1.1,16.7 ± 1.1,NA,NA
open,chlorite,5.6,0.5,5.6 ± 0.5,NA,NA
open,hornblende,4.6,0.6,4.6 ± 0.6,NA,NA
open,mica,9.7,0.6,9.7 ± 0.6,NA,NA
open,microcline,4.8,1.4,4.8 ± 1.4,NA,NA
open,quartz,42.7,1.8,42.7 ± 1.8,NA,NA
canopy,albite,13.4,0.3,NA,13.4 ± 0.3,NA
canopy,ankerite,0.3,0.1,NA,0.3 ± 0.1,NA
canopy,anorthite,14.4,0.3,NA,14.4 ± 0.3,NA
canopy,chlorite,7.6,0.3,NA,7.6 ± 0.3,NA
canopy,hornblende,3.9,0.1,NA,3.9 ± 0.1,NA
canopy,mica,14.6,0.8,NA,14.6 ± 0.8,NA
canopy,microcline,5.8,0.4,NA,5.8 ± 0.4,NA
canopy,quartz,40,0.6,NA,40 ± 0.6,NA
open,albite,14,0.5,NA,14 ± 0.5,NA
open,ankerite,0.3,0.1,NA,0.3 ± 0.1,NA
open,anorthite,15.1,0.6,NA,15.1 ± 0.6,NA
open,chlorite,6.7,0.6,NA,6.7 ± 0.6,NA
open,hornblende,3.7,0.4,NA,3.7 ± 0.4,NA
open,mica,14,1,NA,14 ± 1,NA
open,microcline,4.9,0.8,NA,4.9 ± 0.8,NA
open,quartz,41.3,1.4,NA,41.3 ± 1.4,NA
canopy,albite,16,0.7,NA,NA,16 ± 0.7
canopy,ankerite,0.8,0.1,NA,NA,0.8 ± 0.1
canopy,anorthite,16.7,1,NA,NA,16.7 ± 1
canopy,chlorite,5.3,0.4,NA,NA,5.3 ± 0.4
canopy,hornblende,4.3,0.4,NA,NA,4.3 ± 0.4
canopy,mica,9.3,0.7,NA,NA,9.3 ± 0.7
canopy,microcline,4,0.8,NA,NA,4 ± 0.8
canopy,quartz,43.5,0.9,NA,NA,43.5 ± 0.9
open,albite,14.7,0.3,NA,NA,14.7 ± 0.3
open,ankerite,0.5,0.1,NA,NA,0.5 ± 0.1
open,anorthite,16.6,0.7,NA,NA,16.6 ± 0.7
open,chlorite,6.2,0.3,NA,NA,6.2 ± 0.3
open,hornblende,4.7,0.2,NA,NA,4.7 ± 0.2
open,mica,10.1,0.3,NA,NA,10.1 ± 0.3
open,microcline,4.9,0.9,NA,NA,4.9 ± 0.9
open,quartz,42.1,0.7,NA,NA,42.1 ± 0.7
