Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Bog_01_CHCl3,Bog_02_CHCl3,Bog_03_CHCl3,Bog_04_CHCl3,Bog_05_CHCl3,Bog_06_CHCl3,Bog_07_CHCl3,Bog_08_CHCl3,Bog_09_CHCl3,Bog_10_CHCl3,Bog_11_CHCl3,Bog_12_CHCl3,Bog_13_CHCl3,Bog_14_CHCl3,Bog_15_CHCl3,Bog_16_CHCl3,Bog_18_CHCl3,Bog_19_CHCl3,Bog_21_CHCl3,FB_01_CHCl3,FB_02_CHCl3,FB_03_CHCl3,FB_04_CHCl3,LC_01_CHCl3,LC_02_CHCl3
98.656552,0,0,0,0,0,0,0,0,,None,99.66382846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051713.3,0,0,0
102.244049,0,0,0,0,0,0,0,0,,None,103.25132546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1942592.6,0,0
102.860594,0,0,0,0,0,0,0,0,,None,103.86787046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055340.4,0,0,0,0,0,0,0
103.859253,0,0,0,0,0,0,0,0,,None,104.86652946688,0,0,0,0,0,0,0,0,0,0,1047422.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.024696,0,0,0,0,0,0,0,0,,None,105.03197246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107180.3,0,0,0,0,0,0,0
104.129519,0,0,0,0,0,0,0,0,,None,105.13679546688,0,0,0,0,0,0,1138221.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.130225,0,0,0,0,0,0,0,0,,None,105.13750146688,0,0,0,1068539.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.137437,0,0,0,0,0,0,0,0,,None,105.14471346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485798,1761185.1,0,0
104.137557,0,0,0,0,0,0,0,0,,None,105.14483346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1812572.9,0,0,0,0
104.510282,0,0,0,0,0,0,0,0,,None,105.51755846688,0,0,0,0,1119293.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.654092,0,0,0,0,0,0,0,0,,None,105.66136846688,0,0,0,0,1077619.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.727096,0,0,0,0,0,0,0,0,,None,105.73437246688,0,0,0,0,0,0,0,0,1136343.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.790816,0,0,0,0,0,0,0,0,,None,105.79809246688,0,0,1028350.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.852511,0,0,0,0,0,0,0,0,,None,105.85978746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054870.8,0,0,0,0,0,0,0,0
104.853269,0,0,0,0,0,0,0,0,,None,105.86054546688,0,0,0,0,0,0,0,0,1035981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.981389,0,0,0,0,0,0,0,0,,None,105.98866546688,0,0,0,0,0,0,0,0,0,0,0,1043140.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.192635,0,0,0,0,0,0,0,0,,None,106.19991146688,0,0,0,0,0,0,0,0,0,0,0,0,1060700.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.284315,0,0,0,0,0,0,0,0,,None,106.29159146688,0,0,0,0,0,0,1085865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.425194,0,0,0,0,0,0,0,0,,None,106.43247046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040623.5,0,0,0
105.493574,0,0,0,0,0,0,0,0,,None,106.50085046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090061.6,0
105.619406,0,0,0,0,0,0,0,0,,None,106.62668246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026294.8,0,0,0,0,0,0,0
105.629184,0,0,0,0,0,0,0,0,,None,106.63646046688,0,0,0,0,0,0,0,0,0,0,0,0,1088308.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.823925,0,0,0,0,0,0,0,0,,None,106.83120146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226692.4,0,0,0,0,0,0,0
105.878508,0,0,0,0,0,0,0,0,,None,106.88578446688,0,0,0,0,0,0,0,0,0,0,1070824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.977321,0,0,0,0,0,0,0,0,,None,106.98459746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036020,0,0,0,0,0,0,0,0,0,0
105.990163,0,0,0,0,0,0,0,0,,None,106.99743946688,0,0,0,0,0,0,1104826.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.996855,0,0,0,0,0,0,0,0,,None,107.00413146688,0,0,0,0,0,0,0,0,0,1048105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.041708,0,0,0,0,0,0,0,0,,None,107.04898446688,0,0,0,0,1025120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.056445,0,0,0,0,0,0,0,0,,None,107.06372146688,0,0,0,1071140.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.102381,0,0,0,0,0,0,0,0,,None,107.10965746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056266.5,0,0,0,0
