Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,HE_08_H2O,HE_09_H2O,HE_10_H2O,HE_11_H2O,HE_12_H2O,HE_13_H2O,HE_14_H2O,HE_15_H2O,HE_01_H2O,HE_02_H2O,HE_03_H2O,HE_04_H2O,HE_05_H2O,HE_06_H2O,HE_07_H2O
98.83295,0,0,0,0,0,0,0,0,,None,99.84022646688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3327402.3,0,0
98.8330788571429,0,0,0,0,0,0,0,0,,None,99.8403553240229,0,0,0,3576212.5,0,0,0,0,5004596.5,0,2013277.6,2380321.8,3980057.5,0,0,4959422,3584019.3
98.8332083333333,0,0,0,0,0,0,0,0,,None,99.8404848002133,0,0,2166384,0,1411566.8,5580661,0,6218665,0,8155306.5,0,0,0,1277828,0,0,0
98.833273,0,0,0,0,0,0,0,0,,None,99.84054946688,0,0,0,0,0,0,2100348.3,0,0,0,0,0,0,0,0,0,0
98.84006,0,0,0,0,0,0,0,0,,None,99.84733646688,0,0,0,0,0,1284731.1,0,0,0,0,0,0,0,0,0,0,0
99.039417,0,0,0,0,0,0,0,0,,None,100.04669346688,0,0,0,0,0,0,0,0,0,0,0,0,1310449.6,0,0,0,0
100.418261,0,0,0,0,0,0,0,0,,None,101.42553746688,0,0,0,0,0,0,0,0,0,0,0,0,1502156.9,0,0,0,0
102.076031,0,0,0,0,0,0,0,0,,None,103.08330746688,0,0,0,0,0,0,0,0,0,0,1087373.4,0,0,0,0,0,0
102.244029,0,0,0,0,0,0,0,0,,None,103.25130546688,0,0,0,0,0,0,0,0,0,0,0,0,1314051.6,0,0,0,0
103.561727,0,0,0,0,0,0,0,0,,None,104.56900346688,0,0,0,0,0,0,0,0,0,0,0,1057826.6,0,0,0,0,0
103.611029,0,0,0,0,0,0,0,0,,None,104.61830546688,0,0,0,0,0,0,0,0,0,0,0,0,1054709.6,0,0,0,0
103.915171,0,0,0,0,0,0,0,0,,None,104.92244746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105362.1,0,0
104.137449666667,0,0,0,0,0,0,0,0,,None,105.144726133547,0,0,0,1765161.4,0,0,0,0,0,1463455.6,0,0,0,0,0,0,1880441.9
104.1375295,0,0,0,0,0,0,0,0,,None,105.14480596688,0,0,0,0,1243209.3,0,1901001.4,0,0,0,0,0,0,0,0,0,0
104.336827,0,0,0,0,0,0,0,0,,None,105.34410346688,0,0,0,0,0,0,0,0,1074010.6,0,0,0,0,0,0,0,0
104.487151,0,0,0,0,0,0,0,0,,None,105.49442746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028542.8
104.867691,0,0,0,0,0,0,0,0,,None,105.87496746688,0,0,1028877.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.874154,0,0,0,0,0,0,0,0,,None,105.88143046688,0,0,0,0,0,0,0,0,0,0,0,1033391.4,0,0,0,0,0
104.994818,0,0,0,0,0,0,0,0,,None,106.00209446688,0,0,0,0,0,0,0,0,0,0,0,0,1041025.6,0,0,0,0
105.400693,0,0,0,0,0,0,0,0,,None,106.40796946688,0,0,0,0,0,1112232.3,0,0,0,0,0,0,0,0,0,0,0
105.554398,0,0,0,0,0,0,0,0,,None,106.56167446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031182.6,0,0
105.582271,0,0,0,0,0,0,0,0,,None,106.58954746688,0,0,0,0,0,0,0,1053268.8,0,0,0,0,0,0,0,0,0
105.730489,0,0,0,0,0,0,0,0,,None,106.73776546688,0,0,0,0,0,0,0,0,1043940.7,0,0,0,0,0,0,0,0
105.899418,0,0,0,0,0,0,0,0,,None,106.90669446688,0,0,0,0,0,0,0,1128092.6,0,0,0,0,0,0,0,0,0
105.904474,0,0,0,0,0,0,0,0,,None,106.91175046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047143.1,0,0
105.999952,0,0,0,0,0,0,0,0,,None,107.00722846688,0,0,0,0,0,0,0,0,0,0,0,0,1045610.1,0,0,0,0
106.001725,0,0,0,0,0,0,0,0,,None,107.00900146688,0,0,0,1029773.6,0,0,0,0,0,0,0,0,0,0,0,0,0
106.1022775,0,0,0,0,0,0,0,0,,None,107.10955396688,0,0,0,1434630.1,0,0,0,0,0,0,0,0,0,0,0,0,1228819
106.102355,0,0,0,0,0,0,0,0,,None,107.10963146688,0,0,0,0,0,0,0,0,0,0,0,0,0,1312733.4,0,0,0
106.15381,0,0,0,0,0,0,0,0,,None,107.16108646688,0,0,0,0,1123103.5,0,0,0,0,0,0,0,0,0,0,0,0
106.168487,0,0,0,0,0,0,0,0,,None,107.17576346688,0,0,1041758.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.305905,0,0,0,0,0,0,0,0,,None,107.31318146688,0,0,0,0,0,0,0,0,1136091,0,0,0,0,0,0,0,0
106.324849,0,0,0,0,0,0,0,0,,None,107.33212546688,0,0,0,0,0,0,0,0,0,1039266.1,0,0,0,0,0,0,0
106.544718,0,0,0,0,0,0,0,0,,None,107.55199446688,0,0,0,0,0,0,0,0,0,0,1057984.8,0,0,0,0,0,0
106.650033,0,0,0,0,0,0,0,0,,None,107.65730946688,0,0,0,0,1027653.9,0,0,0,0,0,0,0,0,0,0,0,0
106.808413,0,0,0,0,0,0,0,0,,None,107.81568946688,0,0,0,0,0,0,0,0,0,1029742.3,0,0,0,0,0,0,0
106.817811,0,0,0,0,0,0,0,0,,None,107.82508746688,0,0,0,0,0,0,1076709.5,0,0,0,0,0,0,0,0,0,0
106.898108,0,0,0,0,0,0,0,0,,None,107.90538446688,0,0,0,0,0,0,0,0,0,0,0,0,0,1079253,0,0,0
106.970405,0,0,0,0,0,0,0,0,,None,107.97768146688,0,0,1056775.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.012544,0,0,0,0,0,0,0,0,,None,108.01982046688,0,0,0,0,0,0,0,0,1031135.1,0,0,0,0,0,0,0,0
107.111437,0,0,0,0,0,0,0,0,,None,108.11871346688,0,0,1074861.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.131214,0,0,0,0,0,0,0,0,,None,108.13849046688,0,0,0,0,0,0,0,0,0,0,0,1153661.8,0,0,0,0,0
107.131673,0,0,0,0,0,0,0,0,,None,108.13894946688,0,0,0,1043244.9,0,0,0,0,0,0,0,0,0,0,0,0,0
107.135188,0,0,0,0,0,0,0,0,,None,108.14246446688,0,0,0,0,1158102.6,0,0,0,0,0,0,0,0,0,0,0,0
107.159963,0,0,0,0,0,0,0,0,,None,108.16723946688,0,0,1140675.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.227531,0,0,0,0,0,0,0,0,,None,108.23480746688,0,0,0,0,0,0,1103337.9,0,0,0,0,0,0,0,0,0,0
107.303834,0,0,0,0,0,0,0,0,,None,108.31111046688,0,0,0,0,0,0,0,0,0,1050609.8,0,0,0,0,0,0,0
107.473034,0,0,0,0,0,0,0,0,,None,108.48031046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051086.3
107.516415,0,0,0,0,0,0,0,0,,None,108.52369146688,0,0,0,2378715.5,0,0,0,0,0,0,0,0,0,0,0,0,0
