id,slopepos,cover_type,depth
Y1-1-O-A,footslope,open,42
Y1-1-O-B,footslope,open,33
Y1-1-O-C,footslope,open,33
Y1-1-C-A,footslope,canopy,29
Y1-1-C-B,footslope,canopy,25
Y1-1-C-C,footslope,canopy,29
Y1-2-C-A,low_backslope,canopy,26
Y1-2-C-B,low_backslope,canopy,19
Y1-2-C-C,low_backslope,canopy,21
Y1-2-O-A,low_backslope,open,23
Y1-2-O-B,low_backslope,open,29
Y1-2-O-C,low_backslope,open,21
Y1-3-C-A,backslope,canopy,26
Y1-3-C-B,backslope,canopy,28
Y1-3-C-C,backslope,canopy,22
Y1-3-O-A,backslope,open,19
Y1-3-O-B,backslope,open,16
Y1-3-O-C,backslope,open,19
