sample,n_perc,c_perc
Y1 03 FOA-Bg1,0.091489,1.60076
Y1 03 FOA-Bg1,0.090792,1.621452
Y1 03 FOA-Bg1,0.089291,1.60916
Y1 35 LCA-Bg2,0.025658,0.403639
Y1 35 LCA-Bg2,0.026316,0.40863
Y1 35 LCA-Bg2,0.026329,0.407132
Y1 77 BOD-Bg2,0.013265,0.260759
Y1 77 BOD-Bg2,0.013782,0.228742
Y1 77 BOD-Bg2,0.014631,0.224391
Y1 24 FCB-Bg2,0.082185,1.31748
Y1 24 FCB-Bg2,0.081259,1.313647
Y1 24 FCB-Bg2,0.080445,1.323194
Y1 55 BCA-Bg1,0.03214,0.535884
Y1 55 BCA-Bg1,0.031421,0.489886
Y1 55 BCA-Bg1,0.028996,0.454786
Y1 39 LCC-Bg2,0.064302,1.253916
Y1 39 LCC-Bg2,0.062794,1.211784
Y1 39 LCC-Bg2,0.065401,1.242433
Y1 70 BOB-Bg2,0.017655,0.279457
Y1 70 BOB-Bg2,0.018383,0.276922
Y1 70 BOB-Bg2,0.017125,0.277521
Y1 44 LOA-Bg2,0.034829,0.565169
Y1 44 LOA-Bg2,0.033822,0.570086
Y1 44 LOA-Bg2,0.035985,0.577351
Y1 72 BOB-Bg4,0.03389,0.481281
Y1 72 BOB-Bg4,0.032871,0.480901
Y1 72 BOB-Bg4,0.033787,0.489776
Y1 10 FOB-Bg2,0.303124,5.397716
Y1 10 FOB-Bg2,0.302417,5.406374
Y1 10 FOB-Bg2,0.302683,5.419321
Y1 15 FOC-Bg3,0.078531,1.500425
Y1 15 FOC-Bg3,0.076312,1.487807
Y1 15 FOC-Bg3,0.077526,1.522206
Y1 49 LOB-Bg3,0.074978,1.30904
Y1 49 LOB-Bg3,0.075613,1.31235
Y1 49 LOB-Bg3,0.074363,1.297754
Y1 71 BOB-Bg3,0.025382,0.40767
Y1 71 BOB-Bg3,0.025023,0.41935
Y1 71 BOB-Bg3,0.025539,0.41612
Y1 48 LOB-Bg2,0.084098,1.476773
Y1 48 LOB-Bg2,0.085898,1.485806
Y1 48 LOB-Bg2,0.085877,1.473168
Y1 37 LCB-Bg,0.060256,1.170192
Y1 37 LCB-Bg,0.061197,1.154675
Y1 37 LCB-Bg,0.060381,1.180077
Y1 34 LCA-Bg1,0.032125,0.562523
Y1 34 LCA-Bg1,0.032031,0.575584
Y1 34 LCA-Bg1,0.03344,0.567744
Y1 43 LOA-Bg1,0.086479,1.309774
Y1 43 LOA-Bg1,0.084308,1.310707
Y1 43 LOA-Bg1,0.085744,1.311141
