sample_id,slopepos_num,slopepos,cover_type,Rep,Top_cm,Bottom_cm,Horizonation,Collected,Collection_Method,Frozen_Unfrozen,DBH (cm),tin_number,tin_weight_g,sample_weight_g,sample_plus_tin_g_,sample_plus_tin_g_after_24h_at 105C,sample_plus_tin_g_after_4h_385C,grav,LOI,enzyme_weight_g
Y1 04,1,Footslope,Open,A,49,54,Bg2,Y,Core,Fr,,2,2.311,5.606,7.917,6.256,6.11,0.2963,0.037,6.621
Y1 08,1,Footslope,Open,B,33,35,Oe/Bg,Y,Hand,Un,,4,2.314,8.216,10.53,3.723,3.1206,0.8285,0.4275,6.25
Y1 09,1,Footslope,Open,B,35,39,Bg1,Y,Core,Fr,,5,2.33,5.081,7.411,5.566,5.2326,0.3631,0.103,6.084
Y1 10,1,Footslope,Open,B,39,44,Bg2,Y,Core,Fr,,6,2.287,5.229,7.516,5.524,5.294,0.381,0.0711,5.606
Y1 13,1,Footslope,Open,C,33,45,Bg1,Y,Hand,Un,,7,2.32,6.142,8.462,6.867,6.7291,0.2597,0.0303,6.719
Y1 14,1,Footslope,Open,C,45,50,Bg2,Y,Core,Fr,,8,2.32,6.58,8.9,5.079,4.9277,0.5807,0.0548,7.369
Y1 15,1,Footslope,Open,C,50,54,Bg3,Y,Core,Fr,,9,2.297,5.264,7.561,6.185,6.0365,0.2614,0.0382,9.413
Y1 18,1,Footslope,Canopy,A,29,38,Bg1,Y,Hand,Un,19,10,2.326,4.963,7.289,5.954,5.8402,0.269,0.0314,5.119
Y1 19,1,Footslope,Canopy,A,38,43,Bg2,Y,Core,Fr,19,11,2.329,13.545,15.874,10.461,10.2359,0.3996,0.0277,5.224
Y1 20,1,Footslope,Canopy,A,43,48,Bg3,Y,Core,Fr,19,12,2.304,7.064,9.368,6.377,6.2048,0.4234,0.0423,9.714
Y1 23,1,Footslope,Canopy,B,25,39,Bg1,Y,Hand,Fr,15,13,2.372,5.376,7.748,6.284,6.1615,0.2723,0.0313,7.068
