sample,quartz,quartz_stdev,albite,albite_stdev,anorthite,anorthite_stdev,microcline,microcline_stdev,chlorite,chlorite_stdev,mica,mica_stdev,hornblende,hornblend_stdev,ankerite,ankerite_stdev,rwp,feldspar_decimal
Y103 FOA-Bg1,4.51E+01,3.93E-01,1.40E+01,3.91E-01,1.40E+01,4.35E-01,2.00E+00,2.16E-01,6.02E+00,2.51E-01,1.26E+01,2.81E-01,5.43E+00,2.49E-01,8.52E-01,9.68E-02,7.71E+00,0.30
Y104 FOA-Bg2,3.96E+01,3.32E-01,1.31E+01,3.54E-01,1.49E+01,4.01E-01,5.76E+00,2.79E-01,7.66E+00,2.32E-01,1.55E+01,2.66E-01,3.29E+00,2.31E-01,2.16E-01,9.00E-02,7.33E+00,0.34
Y109 FOB-Bg1,3.61E+01,3.51E-01,1.21E+01,4.02E-01,1.36E+01,4.56E-01,5.64E+00,3.16E-01,9.73E+00,2.77E-01,1.91E+01,3.35E-01,3.82E+00,2.66E-01,5.97E-03,9.78E-02,6.11E+00,0.31
Y10B FOB-OeBg,3.82E+01,3.43E-01,1.27E+01,3.76E-01,1.45E+01,4.23E-01,6.81E+00,2.90E-01,7.90E+00,2.55E-01,1.62E+01,3.04E-01,3.62E+00,2.46E-01,9.93E-02,9.45E-02,5.43E+00,0.34
Y110 FOB-Bg2,4.37E+01,3.68E-01,1.39E+01,3.56E-01,1.54E+01,3.99E-01,5.98E+00,2.71E-01,5.80E+00,2.39E-01,1.11E+01,2.87E-01,3.53E+00,2.31E-01,6.24E-01,1.07E-01,6.51E+00,0.35
Y113 FOC-Bg1,3.92E+01,3.19E-01,1.49E+01,3.44E-01,1.43E+01,3.90E-01,6.15E+00,2.66E-01,7.30E+00,2.20E-01,1.45E+01,2.58E-01,3.50E+00,2.20E-01,1.15E-01,8.06E-02,7.21E+00,0.35
Y114 FOC-Bg2,4.77E+01,4.48E-01,1.55E+01,4.22E-01,1.51E+01,4.74E-01,1.08E+00,1.91E-01,4.14E+00,2.65E-01,1.15E+01,3.17E-01,4.34E+00,2.66E-01,6.37E-01,1.19E-01,8.93E+00,0.32
Y115 FOC-Bg3,4.07E+01,4.14E-01,1.55E+01,4.45E-01,1.91E+01,4.89E-01,6.09E+00,3.36E-01,5.30E+00,2.73E-01,1.13E+01,3.17E-01,1.81E+00,2.04E-01,1.90E-01,1.05E-01,1.01E+01,0.41
Y118 FCA-Bg1,4.04E+01,3.46E-01,1.35E+01,3.65E-01,1.46E+01,4.07E-01,6.71E+00,2.83E-01,7.17E+00,2.36E-01,1.37E+01,2.74E-01,3.56E+00,2.34E-01,2.82E-01,9.03E-02,7.76E+00,0.35
Y119 FCA-Bg2,4.02E+01,3.29E-01,1.36E+01,3.43E-01,1.32E+01,3.97E-01,6.72E+00,2.72E-01,7.91E+00,2.24E-01,1.44E+01,2.58E-01,3.74E+00,2.24E-01,1.11E-01,8.43E-02,7.19E+00,0.34
Y120 FCA-Bg3,3.91E+01,3.50E-01,1.30E+01,3.73E-01,1.36E+01,4.27E-01,5.75E+00,3.00E-01,7.75E+00,2.44E-01,1.69E+01,2.94E-01,3.76E+00,2.47E-01,1.73E-02,9.22E-02,7.52E+00,0.32
Y123 FCB-Bg1,4.01E+01,3.61E-01,1.34E+01,3.89E-01,1.42E+01,4.50E-01,2.47E+00,2.20E-01,7.69E+00,2.55E-01,1.76E+01,2.93E-01,4.27E+00,2.58E-01,2.17E-01,9.68E-02,7.67E+00,0.30
Y124 FCB-Bg2,3.84E+01,3.11E-01,1.25E+01,3.40E-01,1.52E+01,3.82E-01,5.90E+00,2.63E-01,8.13E+00,2.23E-01,1.61E+01,2.64E-01,3.75E+00,2.20E-01,2.40E-02,8.23E-02,6.98E+00,0.34
Y125 FCB-Bg3,3.77E+01,3.10E-01,1.25E+01,3.43E-01,1.37E+01,3.88E-01,6.67E+00,2.70E-01,9.14E+00,2.30E-01,1.56E+01,2.67E-01,4.03E+00,2.26E-01,5.37E-01,8.56E-02,6.48E+00,0.33
Y128 FCC-Bg1,3.98E+01,3.42E-01,1.28E+01,3.63E-01,1.44E+01,4.13E-01,6.02E+00,2.82E-01,7.98E+00,2.38E-01,1.42E+01,2.82E-01,4.03E+00,2.32E-01,7.31E-01,9.28E-02,6.51E+00,0.33
Y129 FCC-Bg2,4.00E+01,3.36E-01,1.47E+01,3.50E-01,1.54E+01,3.97E-01,6.29E+00,2.78E-01,6.79E+00,2.34E-01,1.25E+01,2.77E-01,3.96E+00,2.33E-01,3.02E-01,8.83E-02,6.25E+00,0.36
