sample_id,sand_perc,silt_perc,clay_perc
Y1 03,10,70,20
Y1 04,5,80,15
Y1 10,20,60,20
Y1 13,-5,85,20
Y1 14,20,65,15
Y1 15,15,70,15
Y1 18,5,75,20
Y1 19,10,75,15
Y1 20,6,73,21
Y1 23,5,75,20
Y1 24,0,80,20
Y1 25,10,70,20
Y1 28,5,70,25
Y1 29,15,60,25
Y1 30,15,70,15
Y1 33,30,55,15
Y1 34,45,40,15
Y1 35,20,60,20
Y1 37,40,40,20
Y1 39,30,45,25
Y1 40,20,55,25
Y1 41,10,65,25
Y1 43,15,65,20
Y1 44,19,66,15
Y1 45,15,70,15
Y1 48,14,63,23
Y1 47,21,58,21
Y1 49,30,50,20
Y1 52,20,60,20
Y1 53,35,45,20
Y1 55,35,45,20
Y1 58,45,40,15
Y1 61,35,50,15
Y1 65,20,60,20
Y1 70,40,45,15
Y1 71,20,65,15
Y1 72,10,70,20
Y1 77,45,40,15
