date_time,open_tempC_0.05cm,open_tempC_0.75cm,date/time,closed_tempC_0.05cm,closed_tempC_0.75cm
10/3/2017 0:00,2.61,-0.06,10/3/2017 18:00,6.712,-0.032
10/3/2017 6:00,2.262,-0.06,10/4/2017 0:00,1.344,-0.06
10/3/2017 12:00,4.272,-0.06,10/4/2017 6:00,3.036,-0.06
10/3/2017 18:00,6.788,-0.06,10/4/2017 12:00,5.282,-0.06
10/4/2017 0:00,1.48,-0.06,10/4/2017 18:00,5.205,-0.06
10/4/2017 6:00,2.877,-0.06,10/5/2017 0:00,-0.873,-0.06
10/4/2017 12:00,4.22,-0.06,10/5/2017 6:00,-1.441,-0.06
10/4/2017 18:00,5.77,-0.06,10/5/2017 12:00,2.664,-0.06
10/5/2017 0:00,0.273,-0.06,10/5/2017 18:00,4.662,-0.06
10/5/2017 6:00,-0.004,-0.06,10/6/2017 0:00,0.715,-0.06
10/5/2017 12:00,0.107,-0.06,10/6/2017 6:00,-0.06,-0.06
10/5/2017 18:00,3.643,-0.06,10/6/2017 12:00,1.317,-0.06
10/6/2017 0:00,1.017,-0.06,10/6/2017 18:00,5.154,-0.06
10/6/2017 6:00,0.079,-0.06,10/7/2017 0:00,2.61,-0.06
10/6/2017 12:00,0.079,-0.06,10/7/2017 6:00,3.009,-0.06
10/6/2017 18:00,4.584,-0.06,10/7/2017 12:00,5.642,-0.06
10/7/2017 0:00,2.53,-0.06,10/7/2017 18:00,3.88,-0.06
10/7/2017 6:00,2.53,-0.06,10/8/2017 0:00,-0.143,-0.06
10/7/2017 12:00,4.35,-0.06,10/8/2017 6:00,0.88,-0.06
10/7/2017 18:00,4.792,-0.06,10/8/2017 12:00,3.617,-0.06
10/8/2017 0:00,0.218,-0.06,10/8/2017 18:00,3.142,-0.06
10/8/2017 6:00,0.163,-0.06,10/9/2017 0:00,1.153,-0.06
10/8/2017 12:00,1.561,-0.06,10/9/2017 6:00,1.208,-0.06
10/8/2017 18:00,3.564,-0.06,10/9/2017 12:00,2.983,-0.06
10/9/2017 0:00,1.235,-0.06,10/9/2017 18:00,2.423,-0.06
10/9/2017 6:00,0.989,-0.06,10/10/2017 0:00,0.77,-0.06
10/9/2017 12:00,1.588,-0.06,10/10/2017 6:00,0.079,-0.06
10/9/2017 18:00,2.53,-0.06,10/10/2017 12:00,1.67,-0.06
10/10/2017 0:00,0.632,-0.06,10/10/2017 18:00,2.877,-0.06
10/10/2017 6:00,0.135,-0.06,10/11/2017 0:00,0.051,-0.06
10/10/2017 12:00,-0.032,-0.06,10/11/2017 6:00,1.099,-0.06
10/10/2017 18:00,0.135,-0.06,10/11/2017 12:00,2.155,-0.06
10/11/2017 0:00,-0.171,-0.06,10/11/2017 18:00,0.439,-0.06
10/11/2017 6:00,-0.143,-0.06,10/12/2017 0:00,-0.986,-0.06
10/11/2017 12:00,0.135,-0.06,10/12/2017 6:00,-2.8,-0.06
10/11/2017 18:00,0.135,-0.06,10/12/2017 12:00,-1.814,-0.06
10/12/2017 0:00,-0.311,-0.06,10/12/2017 18:00,-0.367,-0.06
10/12/2017 6:00,-0.283,-0.06,10/13/2017 0:00,-0.227,-0.06
10/12/2017 12:00,-0.507,-0.06,10/13/2017 6:00,-0.171,-0.06
10/12/2017 18:00,-0.395,-0.06,10/13/2017 12:00,-0.116,-0.06
10/13/2017 0:00,-0.395,-0.06,10/13/2017 18:00,0.66,-0.06
10/13/2017 6:00,-0.395,-0.06,10/14/2017 0:00,-0.088,-0.06
10/13/2017 12:00,-0.423,-0.06,10/14/2017 6:00,-0.116,-0.06
10/13/2017 18:00,-0.451,-0.06,10/14/2017 12:00,0.163,-0.06
10/14/2017 0:00,-0.451,-0.06,10/14/2017 18:00,0.77,-0.06
10/14/2017 6:00,-0.479,-0.06,10/15/2017 0:00,-0.116,-0.06
10/14/2017 12:00,-0.507,-0.06,10/15/2017 6:00,-0.116,-0.06
10/14/2017 18:00,-0.563,-0.06,10/15/2017 12:00,-0.088,-0.06
10/15/2017 0:00,-0.563,-0.06,10/15/2017 18:00,-0.395,-0.06
10/15/2017 6:00,-0.62,-0.06,10/16/2017 0:00,-0.171,-0.06
10/15/2017 12:00,-0.648,-0.06,10/16/2017 6:00,-1.27,-0.06
10/15/2017 18:00,-0.648,-0.06,10/16/2017 12:00,-0.591,-0.06
10/16/2017 0:00,-0.62,-0.06,10/16/2017 18:00,-0.76,-0.06
10/16/2017 6:00,-0.591,-0.06,10/17/2017 0:00,-1.242,-0.06
10/16/2017 12:00,-0.676,-0.06,10/17/2017 6:00,-1.699,-0.06
10/16/2017 18:00,-0.704,-0.06,10/17/2017 12:00,-0.93,-0.06
10/17/2017 0:00,-0.845,-0.06,10/17/2017 18:00,-0.676,-0.06
10/17/2017 6:00,-1.043,-0.088,10/18/2017 0:00,-1.527,-0.06
10/17/2017 12:00,-1.128,-0.088,10/18/2017 6:00,-2.102,-0.06
10/17/2017 18:00,-0.93,-0.06,10/18/2017 12:00,-1.299,-0.06
10/18/2017 0:00,-1.327,-0.06,10/18/2017 18:00,-1.327,-0.06
10/18/2017 6:00,-1.785,-0.06,10/19/2017 0:00,-3.568,-0.06
10/18/2017 12:00,-1.641,-0.088,10/19/2017 6:00,-5.885,-0.06
10/18/2017 18:00,-1.441,-0.06,10/19/2017 12:00,-4.167,-0.06
10/19/2017 0:00,-1.958,-0.088,10/19/2017 18:00,-4.895,-0.06
10/19/2017 6:00,-3.986,-0.088,10/20/2017 0:00,-8.331,-0.06
10/19/2017 12:00,-4.469,-0.088,10/20/2017 6:00,-10.266,-0.06
10/19/2017 18:00,-4.834,-0.088,10/20/2017 12:00,-9.1,-0.06
10/20/2017 0:00,-8.932,-0.088,10/20/2017 18:00,-8.463,-0.06
10/20/2017 6:00,-10.511,-0.088,10/21/2017 0:00,-10.722,-0.06
10/20/2017 12:00,-12.528,-0.088,10/21/2017 6:00,-11.758,-0.06
10/20/2017 18:00,-10.197,-0.088,10/21/2017 12:00,-7.902,-0.06
10/21/2017 0:00,-12.863,-0.088,10/21/2017 18:00,-5.854,-0.06
10/21/2017 6:00,-14.197,-0.088,10/22/2017 0:00,-7.902,-0.06
10/21/2017 12:00,-12.751,-0.088,10/22/2017 6:00,-9.337,-0.06
10/21/2017 18:00,-7.935,-0.088,10/22/2017 12:00,-5.948,-0.06
10/22/2017 0:00,-9.337,-0.088,10/22/2017 18:00,-7.413,-0.06
10/22/2017 6:00,-10.092,-0.088,10/23/2017 0:00,-10.476,-0.06
10/22/2017 12:00,-8.264,-0.088,10/23/2017 6:00,-12.196,-0.06
10/22/2017 18:00,-7.51,-0.088,10/23/2017 12:00,-9.851,-0.06
10/23/2017 0:00,-11.65,-0.088,10/23/2017 18:00,-6.962,-0.06
10/23/2017 6:00,-14.159,-0.088,10/24/2017 0:00,-6.042,-0.06
10/23/2017 12:00,-13.888,-0.088,10/24/2017 6:00,-5.916,-0.06
10/23/2017 18:00,-8.663,-0.088,10/24/2017 12:00,-4.682,-0.06
10/24/2017 0:00,-7.284,-0.088,10/24/2017 18:00,-3.183,-0.06
10/24/2017 6:00,-6.834,-0.06,10/25/2017 0:00,-3.124,-0.06
10/24/2017 12:00,-5.791,-0.088,10/25/2017 6:00,-3.035,-0.06
10/24/2017 18:00,-4.408,-0.088,10/25/2017 12:00,-1.67,-0.06
10/25/2017 0:00,-3.747,-0.088,10/25/2017 18:00,-1.299,-0.06
10/25/2017 6:00,-3.598,-0.088,10/26/2017 0:00,-1.47,-0.06
10/25/2017 12:00,-3.065,-0.088,10/26/2017 6:00,-2.131,-0.06
10/25/2017 18:00,-2.305,-0.088,10/26/2017 12:00,-0.591,-0.06
10/26/2017 0:00,-2.102,-0.088,10/26/2017 18:00,-0.227,-0.06
10/26/2017 6:00,-2.305,-0.088,10/27/2017 0:00,-0.563,-0.06
10/26/2017 12:00,-2.102,-0.088,10/27/2017 6:00,-0.732,-0.06
10/26/2017 18:00,-1.47,-0.088,10/27/2017 12:00,-0.255,-0.06
10/27/2017 0:00,-1.356,-0.088,10/27/2017 18:00,-0.143,-0.06
10/27/2017 6:00,-1.356,-0.088,10/28/2017 0:00,-0.116,-0.06
10/27/2017 12:00,-1.327,-0.088,10/28/2017 6:00,-2.102,-0.06
10/27/2017 18:00,-1.1,-0.088,10/28/2017 12:00,-1.842,-0.06
10/28/2017 0:00,-1.043,-0.088,10/28/2017 18:00,-0.339,-0.06
10/28/2017 6:00,-1.958,-0.088,10/29/2017 0:00,-0.789,-0.06
10/28/2017 12:00,-2.976,-0.088,10/29/2017 6:00,-1.015,-0.06
10/28/2017 18:00,-1.584,-0.088,10/29/2017 12:00,-0.986,-0.06
10/29/2017 0:00,-1.47,-0.088,10/29/2017 18:00,-1.242,-0.06
10/29/2017 6:00,-1.584,-0.088,10/30/2017 0:00,-3.035,-0.06
10/29/2017 12:00,-2.218,-0.088,10/30/2017 6:00,-1.986,-0.06
10/29/2017 18:00,-1.727,-0.088,10/30/2017 12:00,-0.395,-0.06
10/30/2017 0:00,-3.777,-0.088,10/30/2017 18:00,-0.171,-0.06
10/30/2017 6:00,-3.271,-0.088,10/31/2017 0:00,-0.171,-0.06
10/30/2017 12:00,-1.071,-0.088,10/31/2017 6:00,-1.641,-0.06
10/30/2017 18:00,-1.015,-0.088,10/31/2017 12:00,-1.1,-0.06
10/31/2017 0:00,-0.986,-0.088,10/31/2017 18:00,-0.339,-0.06
10/31/2017 6:00,-0.958,-0.088,11/1/2017 0:00,-1.441,-0.06
10/31/2017 12:00,-1.128,-0.088,11/1/2017 6:00,-2.947,-0.06
10/31/2017 18:00,-1.071,-0.088,11/1/2017 12:00,-1.727,-0.06
11/1/2017 0:00,-1.27,-0.088,11/1/2017 18:00,-1.157,-0.06
11/1/2017 6:00,-2.276,-0.088,11/2/2017 0:00,-4.834,-0.06
11/1/2017 12:00,-2.073,-0.088,11/2/2017 6:00,-5.049,-0.06
11/1/2017 18:00,-1.556,-0.088,11/2/2017 12:00,-3.183,-0.06
11/2/2017 0:00,-4.499,-0.088,11/2/2017 18:00,-2.276,-0.06
